"NIH Spending Categorization","Project Terms","Project Title","Public Health Relevance","Contact PI Person ID","Contact PI / Project Leader","Other PI or Project Leader(s)","Congressional District","Department","Primary DUNS","Primary UEI","DUNS Number","UEI","FIPS","Latitude","Longitude","Organization ID (IPF)","Organization Name","Organization City","Organization State","Organization Type","Organization Zip","Organization Country","ARRA Indicator","Budget Start Date","Budget End Date","CFDA Code","Funding Mechanism","Fiscal Year","Total Cost","Total Cost (Sub Projects)","Funding IC(s)","Direct Cost IC","InDirect Cost IC","NIH COVID-19 Response","Administering IC","Application ID","Award Notice Date","Opportunity Number","Project Number","Type","Activity","IC","Serial Number","Support Year","Suffix","Program Official Information","Project Start Date","Project End Date","Study Section","Subproject Number","Total Cost IC",
"No NIH Category available"," ","Development and Implementation of the REmote Telehealth User-Reported caNcer Surveillance (RETURNS) Program for Lung Cancer","PROJECT NARRATIVEAlthough lung cancer is the leading cause of cancer-related death in the United States over 540000Americans survive with treatment making it the fourth leading diagnosis among cancer survivors a 20%increase in 2022. Lung cancer surveillance plays an important role in survivorship care through the detectionof both recurrent disease and new `second primary' lung cancer monitoring of toxicity associated withadjuvant treatment reinforcement of smoking cessation and management of fear and anxiety over potentialrecurrence; yet only 26% of patients receive the guideline-recommended imaging and 39% are lost to allfollow-up after lung cancer resection. This proposal seeks to leverage RETURNS a telehealth lung cancersurveillance program to develop and test a remote lung cancer surveillance approach combining PatientReported Outcome (PRO) and community chest computed tomography (CT) assessment in a learning healthsystem to improve adherence to recommended surveillance guidelines by reducing barriers and making caremore efficient and effective for patients providers and the healthcare system.","14349661","ODELL, DAVID D.","Not Applicable","06","SURGERY","073133571","GNJ7BBP73WE9","073133571","GNJ7BBP73WE9","US","42.275494","-83.743038","1506502","UNIVERSITY OF MICHIGAN AT ANN ARBOR","ANN ARBOR","MI","SCHOOLS OF MEDICINE","481091276","UNITED STATES","N","8/1/2024 12:00:00 AM","7/31/2025 12:00:00 AM","226","Non-SBIR/STTR","2024","399999"," ","AHRQ","257438","142561"," ","AHRQ","11192774","9/20/2024 12:00:00 AM","PA-18-795","5R01HS029343-03","5","R01","HS","029343","03"," ","CHANEY, KEVIN","9/30/2023 12:00:00 AM","7/31/2028 12:00:00 AM","Healthcare Effectiveness and Outcomes Research[HEOR]"," ","399999",
"No NIH Category available"," ","Core A: Administrative Core","n/a","1917949","KUSHI, LAWRENCE H","Not Applicable","12","Unavailable","150829349","P1RTMASB37B5","150829349","P1RTMASB37B5","US","37.805769","-122.265214","3497005","KAISER FOUNDATION RESEARCH INSTITUTE","Oakland","CA","Research Institutes","946123610","UNITED STATES","N","7/1/2024 12:00:00 AM","6/30/2025 12:00:00 AM"," ","Non-SBIR/STTR","2024"," ","100000"," ","83979","16021"," ","NCI","11189960","9/17/2024 12:00:00 AM","PA-20-272","3P01CA233432-05S2","3","P01","CA","233432","05","S2","MOLLICA, MICHELLE A","9/15/2020 12:00:00 AM","6/30/2026 12:00:00 AM","ZCA1","8748"," ",
"No NIH Category available"," ","Wake Forest NCORP Research Base","The Wake Forest NCORP Research Base develops and implements multi-site Cancer Control and Cancer CareDelivery (CCDR) clinical research studies in partnership with NCORP Community and Minority/UnderservedCommunity Sites to improve patient well-being and the quality of cancer care.","1880766","LESSER, GLENN J","DRESSLER, EMILY VAN METER; WEAVER, KATHRYN ELIZABETH","05","INTERNAL MEDICINE/MEDICINE","937727907","SN7KD2UK7GC5","937727907","SN7KD2UK7GC5","US","36.059402","-80.321981","9021205","WAKE FOREST UNIVERSITY HEALTH SCIENCES","WINSTON-SALEM","NC","SCHOOLS OF MEDICINE","271570001","UNITED STATES","N","8/1/2024 12:00:00 AM","7/31/2025 12:00:00 AM","399","Other Research-Related","2024","217552"," ","NINDS","140356","77196"," ","NCI","11178143","8/30/2024 12:00:00 AM","RFA-CA-18-015","3UG1CA189824-11S1","3","UG1","CA","189824","11","S1","HECKMAN-STODDARD, BRANDY","8/1/2014 12:00:00 AM","7/31/2025 12:00:00 AM","ZCA1-GRB-S(M1)"," ","217552",
"No NIH Category available"," ","Diverse effects of hemin on the endothelium contribute to pulmonary complications of sickle cell disease","Pulmonary complications are the most common cause of death in patients with sickle cell disease and arethought to be caused by the release of toxins during the breakdown of red blood cells. This proposal expandson our previous work to identify the role of hemin a toxin released during breakdown of red blood cells in thedevelopment of these pulmonary complications namely pulmonary hypertension and acute chest syndrome.We use preclinical models as well as genomic data from sickle cell disease patients to better understand thesedeadly complications in order to develop new therapies.","11352658","FRAIDENBURG, DUSTIN ","Not Applicable","07","INTERNAL MEDICINE/MEDICINE","098987217","W8XEAJDKMXH3","098987217","W8XEAJDKMXH3","US","41.871509","-87.667721","577703","UNIVERSITY OF ILLINOIS AT CHICAGO","Chicago","IL","SCHOOLS OF MEDICINE","606124305","UNITED STATES","N","9/17/2024 12:00:00 AM","8/31/2025 12:00:00 AM","839","Non-SBIR/STTR","2024","607535"," ","NHLBI","396237","211298"," ","NHLBI","11175772","9/17/2024 12:00:00 AM","PA-20-185","1R56HL167875-01A1","1","R56","HL","167875","01","A1","QASBA, PANKAJ","9/17/2024 12:00:00 AM","8/31/2025 12:00:00 AM","Respiratory Integrative Biology and Translational Research Study Section[RIBT]"," ","607535",
"No NIH Category available"," ","Protocol Review and Monitoring System (PRMS)","n/a","6789931","LEWIS, LIONEL DAVID","Not Applicable","02","Unavailable","041027822","EB8ASJBCFER9","041027822","EB8ASJBCFER9","US","43.711386","-72.270611","2021601","DARTMOUTH COLLEGE","HANOVER","NH","Domestic Higher Education","037551421","UNITED STATES","N","12/1/2023 12:00:00 AM","11/30/2024 12:00:00 AM"," ","Research Centers","2024"," ","5262"," ","3209","2053"," ","NCI","11170075","8/30/2024 12:00:00 AM","PA-20-272","3P30CA023108-45S2","3","P30","CA","023108","45","S2","BELIN, PRECILLA L","9/1/2024 12:00:00 AM","11/30/2024 12:00:00 AM"," ","9156"," ",
"No NIH Category available"," ","Community Outreach and Engagement","n/a","1939764","TOSTESON, ANNA N. A.","Not Applicable","02","Unavailable","041027822","EB8ASJBCFER9","041027822","EB8ASJBCFER9","US","43.711386","-72.270611","2021601","DARTMOUTH COLLEGE","HANOVER","NH","Domestic Higher Education","037551421","UNITED STATES","N","12/1/2023 12:00:00 AM","11/30/2024 12:00:00 AM"," ","Research Centers","2024"," ","5263"," ","3209","2054"," ","NCI","11170071","8/30/2024 12:00:00 AM","PA-20-272","3P30CA023108-45S2","3","P30","CA","023108","45","S2","BELIN, PRECILLA L","9/1/2024 12:00:00 AM","11/30/2024 12:00:00 AM"," ","9149"," ",
"No NIH Category available"," ","Cancer Population Sciences (CPS)","n/a","10406548","CHRISTENSEN, BROCK CLARKE","Not Applicable","02","Unavailable","041027822","EB8ASJBCFER9","041027822","EB8ASJBCFER9","US","43.711386","-72.270611","2021601","DARTMOUTH COLLEGE","HANOVER","NH","Domestic Higher Education","037551421","UNITED STATES","N","12/1/2023 12:00:00 AM","11/30/2024 12:00:00 AM"," ","Research Centers","2024"," ","5263"," ","3209","2054"," ","NCI","11170067","8/30/2024 12:00:00 AM","PA-20-272","3P30CA023108-45S2","3","P30","CA","023108","45","S2","BELIN, PRECILLA L","9/1/2024 12:00:00 AM","11/30/2024 12:00:00 AM"," ","9140"," ",
"No NIH Category available"," ","Impact of a nurse-led mind-body intervention on sexual health in breast cancer","n/a","15962582","PARKER, PEARMAN ","Not Applicable","02","Unavailable","122452563","VDFYLZPJEAV6","122452563","VDFYLZPJEAV6","US","34.749005","-92.320097","1471106","UNIV OF ARKANSAS FOR MED SCIS","LITTLE ROCK","AR","Domestic Higher Education","722057101","UNITED STATES","N","6/1/2024 12:00:00 AM","5/31/2025 12:00:00 AM"," ","Research Centers","2024"," ","284737"," ","187391","97346"," ","NIGMS","11158473","8/5/2024 12:00:00 AM","PAR-19-312","5P20GM109005-10","5","P20","GM","109005","10"," ","MCGUIRL, MICHELE","6/1/2024 12:00:00 AM","5/31/2025 12:00:00 AM","ZGM1-RCB-3(C2)","6880"," ",
"No NIH Category available"," ","Social Media Action to Reach Teach and Educate Greater Richmond VA 2.0 (SMARTER-VA 2.0)","OVERALL: PROJECT NARRATIVEThe mission of the Massey Cancer Center (MCC) is to reduce the state cancer burden for all Virginians byaddressing the confluence between biological social and policy drivers through high-impact cutting-edgeresearch; person-centered care across the continuum from prevention through survivorship; communityintegration; and training the next generation of community-centric researchers and healthcare professionals. Thecore of this mission has been supported by the National Cancer Institutes Cancer Center Support Grant (CCSG)since 1975 and the MCC is seeking renewal of this award for another five years. The CCSG supports effortsacross the MCC senior and programmatic leadership; administration; community outreach and engagement;cancer research training and education coordination; promotion of center-wide diversity equity and inclusion;shared resource support and management; clinical research infrastructure; and developmental funding tosupporting team-based transdisciplinary research strategies focused on well-defined catchment area priorities.","3116287","WINN, ROBERT A.","Not Applicable","04","INTERNAL MEDICINE/MEDICINE","105300446","MLQFL4JSSAA9","105300446","MLQFL4JSSAA9","US","37.549807","-77.452775","353201","VIRGINIA COMMONWEALTH UNIVERSITY","RICHMOND","VA","SCHOOLS OF MEDICINE","232980568","UNITED STATES","N","5/1/2024 12:00:00 AM","4/30/2025 12:00:00 AM","397","Research Centers","2024","199999"," ","NCI","128824","71175"," ","NCI","11142218","9/11/2024 12:00:00 AM","PA-20-272","3P30CA016059-42S3","3","P30","CA","016059","42","S3","BELIN, PRECILLA L","12/1/1995 12:00:00 AM","4/30/2028 12:00:00 AM","Cancer Centers Study Section (A)[NCI-A]"," ","199999",
"No NIH Category available"," ","Mayo CCCG (Supp) - Impact of Multi-Channel Communication Campaigns on Cancer Prevention Control and Survivorship (CaPCaS) in Black Hispanic Rural and Sexual and Gender Minority Populations","PROJECT NARRATIVEThis application is being submitted by the Mayo Clinic Comprehensive Cancer Center (MCCCC) in response tothe request for an extension of the Administrative Supplements for the NCI P30 Cancer Center Support Grantsfor Multi-Channel Communication Campaigns. The primary goal of the extension will continue efforts for theimplementation sustainability and evaluation of the MICEO initiatives across the MCCCC enterprisefocusing on: Black men (prostate cancer) Hispanic adults (colorectal and liver cancers) rural-residing adults(lung and colorectal cancers) and expansion to include Sexual and Gender Minority health. This extension willenable us to further our assessment of the impact of multi-channel communication campaigns targeting BlackHispanic Rural and sexual and gender minority populations on cancer prevention control and survivorship(CaPCaS).","1955861","WILLMAN, CHERYL LYNN","Not Applicable","01","Unavailable","006471700","Y2K4F9RPRRG7","006471700","Y2K4F9RPRRG7","US","44.02432","-92.46011","4976101","MAYO CLINIC ROCHESTER","ROCHESTER","MN","Other Domestic Non-Profits","559050001","UNITED STATES","N","9/1/2024 12:00:00 AM","2/28/2025 12:00:00 AM","397","Research Centers","2024","200000"," ","NCI","172244","27756"," ","NCI","11141492","8/30/2024 12:00:00 AM","PA-20-272","3P30CA015083-49S3","3","P30","CA","015083","49","S3","PTAK, KRZYSZTOF","9/1/2024 12:00:00 AM","2/28/2025 12:00:00 AM"," "," ","200000",
